How to automate AWS tasks with function calling|CompletionsEmbeddingsFunctions|Sep 27, 2023
Azure Chat Completion models with your own data (preview)|Completions|Sep 11, 2023
Azure AI Search as a vector database for OpenAI embeddings|Embeddings|Sep 11, 2023
Using Tair as a vector database for OpenAI embeddings|Embeddings|Sep 11, 2023
Question answering with Langchain, Tair and OpenAI|CompletionsEmbeddingsTiktoken|Sep 11, 2023
Fine-Tuning for retrieval augmented generation (RAG) with Qdrant|CompletionsEmbeddings|Sep 4, 2023
Philosophy with vector embeddings, OpenAI and Cassandra / Astra DB|CompletionsEmbeddings|Aug 29, 2023
Philosophy with vector embeddings, OpenAI and Cassandra / Astra DB|CompletionsEmbeddings|Aug 29, 2023
Cassandra / Astra DB|Embeddings|Aug 29, 2023
Elasticsearch|CompletionsEmbeddings|Aug 29, 2023
Retrieval augmented generation using Elasticsearch and OpenAI|CompletionsEmbeddings|Aug 29, 2023
Semantic search using Elasticsearch and OpenAI|CompletionsEmbeddings|Aug 29, 2023
Data preparation and analysis for chat model fine-tuning|CompletionsTiktoken|Aug 22, 2023
How to fine-tune chat models|Completions|Aug 22, 2023
How to evaluate a summarization task|CompletionsEmbeddings|Aug 16, 2023
Function calling for nearby places: Leveraging the Google Places API and customer profiles|CompletionsFunctions|Aug 11, 2023
Addressing transcription misspellings: prompt vs post-processing|CompletionsWhisper|Aug 11, 2023
Enhancing Whisper transcriptions: pre- & post-processing techniques|Whisper|Aug 11, 2023
Azure functions example|CompletionsFunctions|Jul 21, 2023
Visualizing the embeddings in Kangas|Embeddings|Jul 11, 2023
Using PolarDB-PG as a vector database for OpenAI embeddings|Embeddings|Jul 11, 2023
Search reranking with cross-encoders|CompletionsEmbeddings|Jun 28, 2023
Vector databases|Embeddings|Jun 28, 2023
Using Chroma for embeddings search|Embeddings|Jun 28, 2023
Using MyScale for embeddings search|Embeddings|Jun 28, 2023
Using Pinecone for embeddings search|Embeddings|Jun 28, 2023
Using Qdrant for embeddings search|Embeddings|Jun 28, 2023
Using Redis for embeddings search|Embeddings|Jun 28, 2023
Using Typesense for embeddings search|Embeddings|Jun 28, 2023
Using Weaviate for embeddings search|Embeddings|Jun 28, 2023
Whisper prompting guide|CompletionsWhisper|Jun 27, 2023
Financial document analysis with LlamaIndex|CompletionsEmbeddings|Jun 22, 2023
Question answering using a search API and re-ranking|CompletionsEmbeddings|Jun 16, 2023
How to use functions with a knowledge base|CompletionsFunctions|Jun 14, 2023
How to call functions with chat models|CompletionsFunctions|Jun 13, 2023
Semantic search with SingleStoreDB|CompletionsEmbeddings|May 22, 2023
SingleStoreDB|CompletionsEmbeddings|May 22, 2023
Using Weaviate with generative OpenAI module for generative search|CompletionsEmbeddings|May 22, 2023
Unit test writing using a multi-step prompt with legacy Completions|Completions|May 19, 2023
How to create dynamic masks with DALL·E and Segment Anything|Dall-e|May 19, 2023
Using Hologres as a vector database for OpenAI embeddings|Embeddings|May 19, 2023
Running hybrid VSS queries with Redis and OpenAI|Embeddings|May 11, 2023
Redis as a context store with Chat Completions|CompletionsEmbeddings|May 11, 2023
Kusto as a vector database for embeddings|Embeddings|May 10, 2023
Kusto as a vector database|Embeddings|May 10, 2023
Redis vectors as JSON with OpenAI|Embeddings|May 10, 2023
Question answering with Langchain, AnalyticDB and OpenAI|EmbeddingsTiktoken|May 5, 2023
How to build a tool-using agent with LangChain|CompletionsEmbeddings|May 2, 2023
Using MyScale as a vector database for OpenAI embeddings|Embeddings|May 1, 2023
Embedding Wikipedia articles for search|CompletionsEmbeddings|Apr 14, 2023
Typesense|Embeddings|Apr 13, 2023
Using AnalyticDB as a vector database for OpenAI embeddings|Embeddings|Apr 6, 2023
Robust question answering with Chroma and OpenAI|CompletionsEmbeddings|Apr 6, 2023
Visualizing embeddings in Atlas|Embeddings|Mar 28, 2023
Azure Chat Completions example (preview)|Completions|Mar 28, 2023
Filtered search with Milvus and OpenAI|Embeddings|Mar 28, 2023
Getting started with Milvus and OpenAI|Embeddings|Mar 28, 2023
Filtered Search with Zilliz and OpenAI|Embeddings|Mar 28, 2023
Getting Started with Zilliz and OpenAI|Embeddings|Mar 28, 2023
Retrieval augmentation for GPT-4 using Pinecone|CompletionsEmbeddingsTiktoken|Mar 24, 2023
Pinecone vector database|CompletionsEmbeddings|Mar 24, 2023
Semantic search with Pinecone and OpenAI|Embeddings|Mar 24, 2023
How to format inputs to ChatGPT models|CompletionsTiktoken|Mar 1, 2023
Long document content extraction|Completions|Feb 20, 2023
Using Qdrant as a vector database for OpenAI embeddings|Embeddings|Feb 16, 2023
Question answering with Langchain, Qdrant and OpenAI|Embeddings|Feb 16, 2023
Redis|CompletionsEmbeddings|Feb 13, 2023
Using Redis as a vector database with OpenAI|Embeddings|Feb 13, 2023
Weaviate <> OpenAI|Embeddings|Feb 13, 2023
Using Weaviate with OpenAI vectorize module for embeddings search|Embeddings|Feb 13, 2023
Using Weaviate with OpenAI vectorize module for hybrid search|Embeddings|Feb 13, 2023
Question Answering in Weaviate with OpenAI Q&A module|CompletionsEmbeddings|Feb 13, 2023
Retrieval augmented generative question answering with Pinecone|CompletionsEmbeddings|Feb 7, 2023
Visualizing embeddings in Weights and Biases|Embeddings|Feb 1, 2023
How to work with large language models|Completions|Jan 20, 2023
Use cases for embeddings|Embeddings|Jan 20, 2023
Related resources from around the web|CompletionsEmbeddings|Jan 20, 2023
Embedding texts that are longer than the model's maximum context length|EmbeddingsTiktoken|Jan 18, 2023
How to count tokens with Tiktoken|CompletionsTiktoken|Dec 16, 2022
Unit test writing using a multi-step prompt|Completions|Nov 15, 2022
